                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77168,                0.74078,                 1.1082,                0.93708,                0.90081,                0.96687,                0.81424,                0.66978,                0.41471,                0.96685,               0.006634,               0.006634,               0.006634
                     37,                0.76216,                0.72243,                 1.1007,                0.92553,                0.91793,                0.96676,                0.81433,                 0.6573,                0.41722,                0.95921,               0.006535,               0.006535,               0.006535
                     38,                0.75965,                0.71902,                 1.1008,                0.93485,                0.92347,                0.97087,                0.81647,                0.65543,                0.41147,                0.95543,               0.006436,               0.006436,               0.006436
                     39,                0.75196,                 0.7101,                 1.0979,                0.91132,                0.93171,                0.96739,                 0.8188,                0.63771,                0.41432,                0.95712,               0.006337,               0.006337,               0.006337
                     40,                0.74673,                0.70379,                 1.0977,                0.94168,                0.92245,                0.97098,                0.82543,                0.62481,                0.39247,                0.94803,               0.006238,               0.006238,               0.006238
                     41,                0.74201,                0.70074,                  1.091,                0.95901,                0.90907,                0.97132,                0.82307,                0.63451,                0.39362,                0.95147,               0.006139,               0.006139,               0.006139
                     42,                0.73902,                0.69819,                 1.0889,                0.92644,                0.93919,                0.97211,                0.82555,                0.62253,                0.38282,                0.93972,                0.00604,                0.00604,                0.00604
                     43,                0.73982,                0.69242,                  1.092,                0.93186,                 0.9318,                0.97195,                0.82734,                0.62328,                0.38458,                0.94696,               0.005941,               0.005941,               0.005941
                     44,                 0.7292,                0.68687,                 1.0871,                0.93296,                0.89968,                0.96768,                0.82222,                 0.6269,                0.40198,                0.94746,               0.005842,               0.005842,               0.005842
                     45,                 0.7314,                0.67235,                 1.0873,                0.93001,                0.90833,                0.97001,                0.82574,                0.62885,                0.39278,                 0.9498,               0.005743,               0.005743,               0.005743
                     46,                0.72925,                 0.6794,                 1.0853,                0.92633,                0.92385,                0.97147,                0.82675,                0.62248,                0.39216,                0.94272,               0.005644,               0.005644,               0.005644
                     47,                0.71624,                0.67233,                 1.0792,                0.92191,                0.92501,                 0.9688,                 0.8288,                0.61751,                0.38438,                0.94026,               0.005545,               0.005545,               0.005545
                     48,                  0.712,                0.66419,                  1.078,                0.91413,                0.93405,                0.97304,                0.83579,                0.60807,                0.38408,                0.94255,               0.005446,               0.005446,               0.005446
                     49,                0.71547,                0.66384,                 1.0802,                0.95578,                0.89897,                0.97296,                0.83489,                0.60605,                0.38538,                0.93776,               0.005347,               0.005347,               0.005347
                     50,                 0.7109,                0.65501,                 1.0787,                0.93682,                0.92046,                0.97362,                0.83922,                0.60463,                0.37933,                0.93975,               0.005248,               0.005248,               0.005248
                     51,                0.70134,                0.65004,                 1.0754,                0.93255,                0.93288,                0.97413,                0.83913,                0.60036,                0.36853,                0.93945,               0.005149,               0.005149,               0.005149
                     52,                0.70467,                0.65592,                 1.0783,                0.94909,                0.91378,                0.97443,                0.84442,                0.59271,                0.36458,                0.93814,                0.00505,                0.00505,                0.00505
                     53,                 0.6927,                0.64427,                 1.0713,                0.93286,                0.92799,                0.97362,                0.83992,                0.58757,                0.36602,                0.93528,               0.004951,               0.004951,               0.004951
                     54,                0.69388,                0.63372,                 1.0733,                0.92645,                0.93939,                0.97696,                 0.8388,                0.58748,                0.36801,                0.93275,               0.004852,               0.004852,               0.004852
                     55,                0.69018,                0.63668,                 1.0724,                0.93164,                0.93786,                0.97646,                0.83902,                0.58855,                0.36082,                0.93364,               0.004753,               0.004753,               0.004753
                     56,                0.68005,                0.62878,                 1.0667,                0.93023,                0.93493,                0.97492,                0.84191,                0.58963,                0.35872,                0.93402,               0.004654,               0.004654,               0.004654
                     57,                0.67711,                0.62069,                 1.0628,                0.92686,                0.93857,                0.97693,                0.84361,                0.58326,                0.35472,                0.92902,               0.004555,               0.004555,               0.004555
                     58,                0.68065,                0.62222,                 1.0643,                0.95373,                0.91727,                 0.9782,                0.84469,                0.58295,                0.35423,                0.92496,               0.004456,               0.004456,               0.004456
                     59,                0.67143,                0.61132,                 1.0616,                 0.9442,                0.93351,                0.97822,                 0.8439,                0.58233,                0.35096,                0.92455,               0.004357,               0.004357,               0.004357
                     60,                0.67265,                0.60076,                  1.061,                0.94142,                0.93946,                0.97804,                0.84545,                0.58133,                0.35231,                0.92619,               0.004258,               0.004258,               0.004258
                     61,                0.67149,                 0.6155,                 1.0625,                0.93766,                0.93867,                0.97743,                0.84429,                0.58052,                0.35018,                0.92778,               0.004159,               0.004159,               0.004159
                     62,                0.66249,                0.60054,                  1.059,                0.93871,                0.94249,                0.97891,                0.84454,                0.57919,                0.34937,                0.92692,                0.00406,                0.00406,                0.00406
                     63,                0.65843,                0.58798,                 1.0519,                0.94766,                 0.9347,                0.97717,                0.84526,                0.57716,                 0.3484,                0.92661,               0.003961,               0.003961,               0.003961
                     64,                0.66474,                0.59423,                 1.0553,                0.93922,                0.94518,                0.97795,                0.84717,                 0.5741,                0.35121,                 0.9229,               0.003862,               0.003862,               0.003862
                     65,                0.65755,                0.58828,                 1.0533,                0.93646,                0.94602,                0.97807,                0.84694,                0.57073,                0.34979,                0.92089,               0.003763,               0.003763,               0.003763
                     66,                0.65143,                0.58259,                 1.0532,                0.93875,                0.94565,                0.97854,                0.84419,                 0.5715,                0.34945,                0.92145,               0.003664,               0.003664,               0.003664
                     67,                0.64613,                0.57531,                 1.0466,                0.93855,                0.94628,                0.97891,                0.84562,                0.57197,                 0.3488,                0.92147,               0.003565,               0.003565,               0.003565
                     68,                 0.6415,                0.57822,                 1.0454,                0.94207,                0.94873,                0.97904,                0.84653,                0.57209,                 0.3469,                0.92299,               0.003466,               0.003466,               0.003466
